Jugador,Nacionalidad,Posicion,Edad,Goles,Tiros Totales,xG,npxG,xAG,xAG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,contract_date
Danel Sinani,lu LUX,FW,28-042,4,70,3.2,3.2,6.0,6.0,6.0,6.0,120,1092,1092,1092,1092,1092,1092,1092,1092,1092,120,120,120,120,20,20,20,20,256,78,6.0,6.0,6.0,6.0,4.8,90,904,180,10,134,780,780,780,780,780,780,780,780,780,8,26,0,604,60,1166.6,18,30,62,32,866,128,50,134,20,662.2,-
Daniel Peretz,il ISR,GK,24-163,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,206,206,206,206,206,206,206,206,206,2,2,2,2,0,0,0,0,98,32,0.0,0.0,0.0,0.0,0.0,0,188,18,2,0,158,158,158,158,158,158,158,158,158,0,4,0,0,0,0.0,0,0,0,0,154,0,0,0,0,0.0,30.06.2026
Daniel Svensson,se SWE,WB,23-094,2,12,1.4000000000000001,1.4000000000000001,2.4,2.4,2.4,2.4,40,994,994,994,994,994,994,994,994,994,82,82,82,82,2,2,2,2,306,56,2.4,2.4,2.4,2.4,2.6,58,824,170,0,72,788,788,788,788,788,788,788,788,788,0,60,0,448,50,100.0,6,12,12,14,716,102,8,72,12,520.0,30.06.2029
Daniel Svensson,se SWE,WB,23-094,2,12,1.4000000000000001,1.4000000000000001,2.4,2.4,2.4,2.4,40,994,994,994,994,994,994,994,994,994,82,82,82,82,2,2,2,2,306,56,2.4,2.4,2.4,2.4,2.6,58,824,170,0,72,788,788,788,788,788,788,788,788,788,0,60,0,448,50,100.0,6,12,12,14,716,102,8,72,12,520.0,30.06.2026
Danilho Doekhi,nl NED,CB,26-321,2,64,5.4,5.4,3.0,3.0,3.0,3.0,64,2540,2540,2540,2540,2540,2540,2540,2540,2540,192,192,192,192,6,6,6,6,972,166,3.0,3.0,3.0,3.0,1.2000000000000002,162,2480,50,2,20,1990,1990,1990,1990,1990,1990,1990,1990,1990,10,338,2,286,128,600.0,2,20,26,12,2000,28,72,20,186,3367.4,30.06.2026
Danny da Costa,de GER,CB,31-308,0,10,0.0,0.0,1.0,1.0,1.0,1.0,62,2402,2402,2402,2402,2402,2402,2402,2402,2402,218,218,218,218,16,16,16,16,882,188,1.0,1.0,1.0,1.0,2.0,246,2296,96,0,44,1884,1884,1884,1884,1884,1884,1884,1884,1884,10,190,6,230,4,660.0,18,38,44,14,1772,44,38,44,66,2004.8,30.06.2026
David Mokwa,fr FRA,WB,20-275,0,4,0.6,0.6,0.0,0.0,0.0,0.0,0,8,8,8,8,8,8,8,8,8,0,0,0,0,2,2,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0,8,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,10,4,200.0,0,0,4,4,10,0,2,0,4,200.0,30.06.2029
David Nemeth,at AUT,CB,24-060,0,10,0.6000000000000001,0.6000000000000001,0.2,0.2,0.2,0.2,16,2214,2214,2214,2214,2214,2214,2214,2214,2214,130,130,130,130,8,8,8,8,968,142,0.2,0.2,0.2,0.2,0.6000000000000001,108,2080,128,0,14,1914,1914,1914,1914,1914,1914,1914,1914,1914,6,188,4,116,20,500.0,10,18,24,6,1666,10,42,14,74,2163.4,-
David Odogu,de GER,CB,18-334,0,4,0.4,0.4,0.0,0.0,0.0,0.0,2,198,198,198,198,198,198,198,198,198,16,16,16,16,0,0,0,0,100,22,0.0,0.0,0.0,0.0,0.0,12,194,4,0,0,174,174,174,174,174,174,174,174,174,0,50,2,6,6,0.0,0,0,2,0,158,0,4,0,18,300.0,-
David Preu,de GER,"AM,FW",20-203,0,4,0.2,0.2,0.0,0.0,0.0,0.0,8,74,74,74,74,74,74,74,74,74,6,6,6,6,4,4,4,4,16,2,0.0,0.0,0.0,0.0,0.0,4,58,16,0,8,40,40,40,40,40,40,40,40,40,0,4,0,42,4,133.4,8,2,8,4,64,18,2,8,0,0.0,-
David Raum,de GER,LB,27-025,2,18,1.0,1.0,12.200000000000001,12.200000000000001,12.200000000000001,12.200000000000001,146,2424,2424,2424,2424,2424,2424,2424,2424,2424,142,142,142,142,22,22,22,22,718,156,12.200000000000001,12.200000000000001,12.200000000000001,12.200000000000001,14.8,110,1850,562,2,376,1682,1682,1682,1682,1682,1682,1682,1682,1682,12,94,8,994,112,1473.2,26,42,32,18,1574,254,46,376,26,1250.2,30.06.2027
Dayot Upamecano,fr FRA,CB,26-139,4,26,2.4,2.4,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,40,3846,3846,3846,3846,3846,3846,3846,3846,3846,274,274,274,274,6,6,6,6,2080,294,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,2.2,394,3760,84,0,12,3610,3610,3610,3610,3610,3610,3610,3610,3610,2,90,2,232,34,600.0,6,54,12,8,3264,8,40,12,118,2370.6,30.06.2026
Denis Vavro,sk SVK,CB,29-037,4,50,2.6,2.6,0.0,0.0,0.0,0.0,54,2986,2986,2986,2986,2986,2986,2986,2986,2986,192,192,192,192,6,6,6,6,1506,468,0.0,0.0,0.0,0.0,0.6000000000000001,204,2854,122,0,16,2594,2594,2594,2594,2594,2594,2594,2594,2594,10,468,6,144,40,600.0,6,24,16,2,2284,6,14,16,160,3595.8,30.06.2027
Deniz Undav,de GER,AM,28-302,18,150,23.2,23.2,7.4,7.4,7.4,7.4,116,1178,1178,1178,1178,1178,1178,1178,1178,1178,140,140,140,140,20,20,20,20,270,52,7.4,7.4,7.4,7.4,7.0,76,1122,48,12,22,862,862,862,862,862,862,862,862,862,8,20,0,738,236,1600.0,26,36,102,56,1248,282,50,22,42,2026.6,30.06.2027
Dennis Geiger,de GER,CM,26-341,0,10,0.2,0.2,1.0,1.0,1.0,1.0,52,724,724,724,724,724,724,724,724,724,74,74,74,74,8,8,8,8,230,32,1.0,1.0,1.0,1.0,1.2000000000000002,64,682,36,4,10,632,632,632,632,632,632,632,632,632,6,12,2,198,16,800.0,4,30,18,16,606,42,52,10,4,400.0,30.06.2027
Derrick Kohn,de GER,WB,26-102,4,26,1.4,1.4,3.1999999999999997,3.1999999999999997,3.1999999999999997,3.1999999999999997,76,1466,1466,1466,1466,1466,1466,1466,1466,1466,78,78,78,78,30,30,30,30,456,36,3.1999999999999997,3.1999999999999997,3.1999999999999997,3.1999999999999997,3.4,44,1220,244,2,116,1162,1162,1162,1162,1162,1162,1162,1162,1162,2,52,0,650,62,1183.2,42,48,46,24,1174,244,28,116,16,1466.6,30.06.2029
Dimitris Giannoulis,gr GRE,WB,29-212,2,26,2.2,2.2,8.0,8.0,8.0,8.0,152,2880,2880,2880,2880,2880,2880,2880,2880,2880,208,208,208,208,58,58,58,58,896,162,8.0,8.0,8.0,8.0,11.2,142,2290,582,4,240,2152,2152,2152,2152,2152,2152,2152,2152,2152,8,150,0,1252,96,2015.2,96,74,98,26,1936,328,34,240,18,966.6,30.06.2028
Diogo Leite,pt POR,CB,26-094,2,36,2.6,2.6,2.2,2.2,2.2,2.2,66,2796,2796,2796,2796,2796,2796,2796,2796,2796,232,232,232,232,20,20,20,20,932,264,2.2,2.2,2.2,2.2,4.4,220,2622,158,0,20,2198,2198,2198,2198,2198,2198,2198,2198,2198,16,324,2,366,72,1366.6,8,36,36,14,1918,32,50,20,156,3220.0,30.06.2026
Dominik Kohr,de GER,CB,31-093,4,26,3.2,3.2,1.0,1.0,1.0,1.0,58,2736,2736,2736,2736,2736,2736,2736,2736,2736,202,202,202,202,10,10,10,10,1062,266,1.0,1.0,1.0,1.0,3.2,152,2520,206,10,32,2218,2218,2218,2218,2218,2218,2218,2218,2218,10,254,0,286,44,800.0,8,40,40,14,1996,62,92,32,76,2420.2,30.06.2028
Donyell Malen,nl NED,RM,26-001,6,38,5.8,5.8,0.4,0.4,0.4,0.4,24,380,380,380,380,380,380,380,380,380,34,34,34,34,22,22,22,22,66,6,0.4,0.4,0.4,0.4,0.8,12,360,18,2,26,272,272,272,272,272,272,272,272,272,2,12,0,350,92,820.0,38,18,32,18,428,150,4,26,2,200.0,-
Edmond Tapsoba,bf BFA,CB,26-104,0,42,2.0,2.0,0.2,0.2,0.2,0.2,68,3944,3944,3944,3944,3944,3944,3944,3944,3944,328,328,328,328,22,22,22,22,1504,268,0.2,0.2,0.2,0.2,2.4000000000000004,390,3682,260,2,16,3406,3406,3406,3406,3406,3406,3406,3406,3406,2,178,6,510,46,1800.0,16,78,32,10,3128,34,68,16,108,3540.2,30.06.2028
El Bilal Toure,ml MLI,FW,23-184,4,28,3.1999999999999997,3.1999999999999997,2.4,2.4,2.4,2.4,22,192,192,192,192,192,192,192,192,192,14,14,14,14,6,6,6,6,36,6,2.4,2.4,2.4,2.4,1.2,12,188,0,2,0,150,150,150,150,150,150,150,150,150,4,2,0,170,46,500.0,6,10,20,4,220,50,18,0,38,1226.6,30.06.2027
El Chadaille Bitshiabu,fr FRA,CB,20-001,0,10,0.4,0.4,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,28,1732,1732,1732,1732,1732,1732,1732,1732,1732,138,138,138,138,4,4,4,4,812,128,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,138,1648,76,2,8,1462,1462,1462,1462,1462,1462,1462,1462,1462,8,194,4,92,24,300.0,2,6,22,2,1348,4,16,8,44,1502.6,30.06.2029
Elias Saad,tn TUN,AM,25-121,6,52,5.4,5.4,1.6,1.6,1.6,1.6,70,478,478,478,478,478,478,478,478,478,54,54,54,54,32,32,32,32,108,18,1.6,1.6,1.6,1.6,2.0,34,460,16,4,28,364,364,364,364,364,364,364,364,364,2,2,0,448,88,804.0,52,46,114,72,638,152,34,28,16,766.6,30.06.2029
Elif Elmas,mk MKD,RM,25-039,0,4,0.6,0.6,0.0,0.0,0.0,0.0,2,32,32,32,32,32,32,32,32,32,4,4,4,4,2,2,2,2,8,0,0.0,0.0,0.0,0.0,0.0,0,32,0,2,0,26,26,26,26,26,26,26,26,26,0,4,0,10,4,200.0,0,0,0,4,34,4,4,0,0,0.0,30.06.2028
Ellyes Skhiri,tn TUN,CM,30-007,2,26,2.8,2.8,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,98,2606,2606,2606,2606,2606,2606,2606,2606,2606,210,210,210,210,22,22,22,22,874,112,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,3.4000000000000004,164,2532,66,4,6,2306,2306,2306,2306,2306,2306,2306,2306,2306,8,90,8,404,42,1533.4,6,34,50,14,2094,54,44,6,38,1573.4,30.06.2027
Elvis Rexhbecaj,xk KVX,CM,27-197,2,58,2.2,2.2,2.2,2.2,2.2,2.2,112,1340,1340,1340,1340,1340,1340,1340,1340,1340,188,188,188,188,20,20,20,20,388,74,2.2,2.2,2.2,2.2,3.2,78,1176,158,10,142,938,938,938,938,938,938,938,938,938,6,44,2,696,62,1180.0,36,52,62,50,1078,164,26,142,20,1200.0,30.06.2026
Elye Wahi,fr FRA,RW,22-135,0,18,2.6,2.6,0.2,0.2,0.2,0.2,8,84,84,84,84,84,84,84,84,84,10,10,10,10,12,12,12,12,18,2,0.2,0.2,0.2,0.2,0.4,4,82,2,0,10,54,54,54,54,54,54,54,54,54,0,2,0,82,28,833.4,2,6,14,10,104,38,4,10,4,200.0,30.06.2030
Emi Buendia,ar ARG,DM,28-143,4,14,2.0,2.0,1.8,1.8,1.8,1.8,24,314,314,314,314,314,314,314,314,314,28,28,28,28,12,12,12,12,74,6,1.8,1.8,1.8,1.8,1.0,18,310,2,6,6,246,246,246,246,246,246,246,246,246,2,0,0,142,24,800.0,4,6,20,16,306,48,12,6,10,533.4,30.06.2027
Emre Can,de GER,CB,31-125,6,14,4.0,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,64,3810,3810,3810,3810,3810,3810,3810,3810,3810,232,232,232,232,30,30,30,30,1756,284,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,2.2,238,3676,128,6,22,3410,3410,3410,3410,3410,3410,3410,3410,3410,6,178,6,348,24,1733.4,18,64,36,20,3164,24,50,22,90,3591.6,30.06.2026
Eren Dinkci,de GER,AM,23-113,0,28,1.8,1.8,4.2,4.2,4.2,4.2,86,788,788,788,788,788,788,788,788,788,70,70,70,70,32,32,32,32,218,24,4.2,4.2,4.2,4.2,1.8,48,776,8,2,30,594,594,594,594,594,594,594,594,594,4,14,0,466,72,1561.6,46,52,62,24,694,142,18,30,12,666.6,-
Eric Dier,eng ENG,CB,31-122,4,18,2.2,2.2,0.4,0.4,0.4,0.4,26,2824,2824,2824,2824,2824,2824,2824,2824,2824,146,146,146,146,4,4,4,4,1418,166,0.4,0.4,0.4,0.4,2.0,266,2720,100,4,4,2648,2648,2648,2648,2648,2648,2648,2648,2648,4,154,2,134,38,400.0,2,20,14,4,2314,2,32,4,104,2326.8,30.06.2028
Eric Smith,se SWE,CM,28-129,2,48,2.6,2.6,3.0,3.0,3.0,3.0,132,3354,3354,3354,3354,3354,3354,3354,3354,3354,236,236,236,236,6,6,6,6,1352,348,3.0,3.0,3.0,3.0,5.8,236,2922,418,8,204,2710,2710,2710,2710,2710,2710,2710,2710,2710,14,208,8,630,16,600.0,4,38,22,14,2260,22,54,204,60,2786.6,-
Erik Ahlstrand,se SWE,RW,23-068,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,26,26,26,26,26,26,26,26,2,2,2,2,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,2,26,0,0,0,20,20,20,20,20,20,20,20,20,0,2,0,20,4,0.0,0,4,6,0,28,6,0,0,0,0.0,-
Ermedin Demirovic,ba BIH,AM,27-053,30,128,28.0,24.6,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,94,734,734,734,734,734,734,734,734,734,62,62,62,62,10,10,10,10,124,4,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,2.8,30,698,30,6,6,516,516,516,516,516,516,516,516,516,6,24,0,602,252,616.6,38,32,78,54,874,230,48,6,68,2431.8,30.06.2028
Exequiel Palacios,ar ARG,"AM,CM,DM",26-224,2,26,3.0,3.0,4.4,4.4,4.4,4.4,94,2046,2046,2046,2046,2046,2046,2046,2046,2046,194,194,194,194,16,16,16,16,634,72,4.4,4.4,4.4,4.4,4.8,194,1984,60,22,8,1844,1844,1844,1844,1844,1844,1844,1844,1844,2,30,2,696,24,1050.0,8,34,34,40,1802,80,18,8,2,200.0,30.06.2028
Fabian Rieder,ch SUI,"RW,RB",23-068,2,40,2.8000000000000003,2.8000000000000003,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,70,796,796,796,796,796,796,796,796,796,76,76,76,76,18,18,18,18,220,54,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,4.6,52,698,94,4,78,562,562,562,562,562,562,562,562,562,4,14,2,456,34,1266.6,20,30,42,26,630,122,28,78,8,566.6,30.06.2027
Fabio Chiarodia,it ITA,CB,19-339,2,8,0.6000000000000001,0.6000000000000001,0.8,0.8,0.8,0.8,4,412,412,412,412,412,412,412,412,412,20,20,20,20,0,0,0,0,158,22,0.8,0.8,0.8,0.8,0.6,18,358,54,2,0,346,346,346,346,346,346,346,346,346,0,106,2,18,10,0.0,0,0,2,0,302,2,14,0,14,1200.0,30.06.2027
Fares Chaibi,dz ALG,AM,22-170,2,50,5.0,5.0,5.6,5.6,5.6,5.6,100,924,924,924,924,924,924,924,924,924,104,104,104,104,14,14,14,14,210,62,5.6,5.6,5.6,5.6,5.6000000000000005,62,782,132,8,144,608,608,608,608,608,608,608,608,608,10,64,2,492,68,900.0,6,26,38,14,722,146,10,144,32,947.6,30.06.2028
Felix Agu,ng NGA,WB,25-232,6,18,2.8,2.8,4.0,4.0,4.0,4.0,70,1644,1644,1644,1644,1644,1644,1644,1644,1644,86,86,86,86,18,18,18,18,488,100,4.0,4.0,4.0,4.0,5.0,72,1334,306,0,98,1310,1310,1310,1310,1310,1310,1310,1310,1310,4,96,0,540,74,999.8,38,24,66,24,1210,210,22,98,42,1340.0,30.06.2027
Felix Nmecha,de GER,CM,24-219,8,36,2.4,2.4,2.4,2.4,2.4,2.4,64,1806,1806,1806,1806,1806,1806,1806,1806,1806,170,170,170,170,34,34,34,34,708,150,2.4,2.4,2.4,2.4,1.8,182,1778,24,8,12,1588,1588,1588,1588,1588,1588,1588,1588,1588,4,60,2,456,38,2050.0,8,42,38,28,1564,54,44,12,46,2110.0,30.06.2028
Finley Stevens,wls WAL,WB,21-291,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,0,0,0,2,0,0.0,0,0,0,0,2,0,0,0,0,0.0,-
Finn Dahmen,de GER,GK,27-051,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1522,1522,1522,1522,1522,1522,1522,1522,1522,6,6,6,6,0,0,0,0,464,408,0.0,0.0,0.0,0.0,0.0,22,1110,408,0,0,1056,1056,1056,1056,1056,1056,1056,1056,1056,4,18,0,0,0,0.0,0,0,0,0,852,0,0,0,10,800.0,30.06.2027
Finn Jeltsch,de GER,CB,18-304,0,4,0.0,0.0,0.2,0.2,0.2,0.2,4,1278,1278,1278,1278,1278,1278,1278,1278,1278,62,62,62,62,4,4,4,4,582,26,0.2,0.2,0.2,0.2,0.4,58,1206,72,6,6,1164,1164,1164,1164,1164,1164,1164,1164,1164,0,54,4,68,4,200.0,2,22,20,2,1050,10,14,6,24,1066.8,30.06.2030
Finn Ole Becker,de GER,CM,24-343,0,8,0.2,0.2,0.4,0.4,0.4,0.4,40,766,766,766,766,766,766,766,766,766,90,90,90,90,12,12,12,12,254,42,0.4,0.4,0.4,0.4,0.4,76,756,10,0,16,632,632,632,632,632,632,632,632,632,0,40,0,150,4,466.6,12,14,18,16,600,14,10,16,14,683.4,30.06.2026
Florian Grillitsch,at AUT,CM,29-095,0,12,0.4,0.4,0.2,0.2,0.2,0.2,34,834,834,834,834,834,834,834,834,834,88,88,88,88,10,10,10,10,324,96,0.2,0.2,0.2,0.2,1.4000000000000001,78,776,58,6,8,722,722,722,722,722,722,722,722,722,0,36,0,184,6,566.6,12,16,10,20,660,8,8,8,14,596.6,30.06.2026
Florian Muller,de GER,GK,27-172,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,652,652,652,652,652,652,652,652,652,0,0,0,0,0,0,0,0,216,138,0.0,0.0,0.0,0.0,0.0,20,486,162,0,0,412,412,412,412,412,412,412,412,412,4,6,0,0,0,0.0,0,0,0,0,328,0,0,0,0,0.0,30.06.2027
Florian Muller,de GER,GK,27-172,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,652,652,652,652,652,652,652,652,652,0,0,0,0,0,0,0,0,216,138,0.0,0.0,0.0,0.0,0.0,20,486,162,0,0,412,412,412,412,412,412,412,412,412,4,6,0,0,0,0.0,0,0,0,0,328,0,0,0,0,0.0,-
Florian Neuhaus,de GER,DM,28-062,0,18,1.4000000000000001,1.4000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,34,466,466,466,466,466,466,466,466,466,54,54,54,54,10,10,10,10,146,52,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,38,440,22,0,18,388,388,388,388,388,388,388,388,388,4,10,2,104,18,550.0,8,20,18,2,386,16,8,18,0,0.0,30.06.2027
Florian Wirtz,de GER,"LW,AM",22-014,20,148,18.8,12.2,14.200000000000001,14.200000000000001,14.200000000000001,14.200000000000001,296,3498,3498,3498,3498,3498,3498,3498,3498,3498,352,352,352,352,164,164,164,164,738,138,14.200000000000001,14.200000000000001,14.200000000000001,14.200000000000001,19.0,192,3238,240,52,202,2740,2740,2740,2740,2740,2740,2740,2740,2740,20,12,2,2354,274,2559.4,158,144,116,94,3276,618,44,202,18,983.2,30.06.2030
Franck Honorat,fr FRA,RW,28-279,8,62,8.8,8.8,10.4,10.4,10.4,10.4,166,1212,1212,1212,1212,1212,1212,1212,1212,1212,90,90,90,90,24,24,24,24,262,90,10.4,10.4,10.4,10.4,9.8,48,1018,190,0,250,818,818,818,818,818,818,818,818,818,4,56,2,778,120,897.4,38,70,44,24,912,248,14,250,18,1133.4,30.06.2029
Frank Feller,de GER,GK,21-123,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,130,130,130,130,130,130,130,130,130,0,0,0,0,0,0,0,0,38,34,0.0,0.0,0.0,0.0,0.0,0,94,36,0,0,82,82,82,82,82,82,82,82,82,0,2,0,0,0,0.0,0,0,0,0,74,0,0,0,0,0.0,30.06.2029
Frank Onyeka,ng NGA,CM,27-136,0,48,2.4,2.4,2.4,2.4,2.4,2.4,100,2038,2038,2038,2038,2038,2038,2038,2038,2038,212,212,212,212,36,36,36,36,698,114,2.4,2.4,2.4,2.4,3.2,140,1950,80,4,40,1704,1704,1704,1704,1704,1704,1704,1704,1704,8,72,4,708,74,1653.4,52,80,98,68,1630,142,94,40,32,1466.6,30.06.2027
Frederik Rønnow,dk DEN,GK,32-279,0,2,0.2,0.2,0.0,0.0,0.0,0.0,12,1804,1804,1804,1804,1804,1804,1804,1804,1804,2,2,2,2,2,2,2,2,604,424,0.0,0.0,0.0,0.0,0.0,48,1298,492,0,0,1238,1238,1238,1238,1238,1238,1238,1238,1238,14,44,4,2,2,200.0,0,0,2,0,850,0,0,0,30,2400.0,-
Gift Orban,ng NGA,AM,22-276,8,22,6.4,6.4,0.4,0.4,0.4,0.4,24,288,288,288,288,288,288,288,288,288,14,14,14,14,8,8,8,8,54,20,0.4,0.4,0.4,0.4,1.5999999999999999,2,260,28,2,12,204,204,204,204,204,204,204,204,204,0,6,0,192,44,366.6,14,12,28,10,246,70,30,12,20,656.6,30.06.2029
Granit Xhaka,ch SUI,CM,32-226,4,42,1.8,1.8,8.6,8.6,8.6,8.6,240,5636,5636,5636,5636,5636,5636,5636,5636,5636,636,636,636,636,14,14,14,14,1924,432,8.6,8.6,8.6,8.6,9.8,744,5388,228,16,60,5056,5056,5056,5056,5056,5056,5056,5056,5056,20,104,12,1414,30,1200.0,16,104,36,28,4736,144,66,60,82,3018.8,30.06.2028
Grant Ranos,am ARM,RW,21-178,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,24,24,24,24,24,24,24,24,2,2,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,22,2,0,0,16,16,16,16,16,16,16,16,16,0,0,0,14,0,0.0,0,2,0,2,22,4,2,0,0,0.0,30.06.2027
Gregor Kobel,ch SUI,GK,27-162,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8,2482,2482,2482,2482,2482,2482,2482,2482,2482,2,2,2,2,4,4,4,4,1050,452,0.0,0.0,0.0,0.0,0.0,10,2086,390,0,0,1986,1986,1986,1986,1986,1986,1986,1986,1986,6,46,6,0,0,400.0,0,0,0,2,1552,0,0,0,10,800.0,30.06.2028
Grischa Promel,de GER,CM,29-235,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,190,190,190,190,190,190,190,190,190,10,10,10,10,0,0,0,0,72,6,0.0,0.0,0.0,0.0,0.0,10,178,12,0,4,160,160,160,160,160,160,160,160,160,0,8,0,36,0,0.0,2,2,4,4,164,6,0,4,2,50.0,30.06.2026
Hannes Behrens,de GER,WB,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,44,44,44,44,44,44,44,44,44,2,2,2,2,2,2,2,2,8,4,0.0,0.0,0.0,0.0,0.0,0,42,2,0,0,32,32,32,32,32,32,32,32,32,0,0,0,28,4,200.0,0,2,4,0,26,14,0,0,2,200.0,-
Haris Tabakovic,ba BIH,FW,30-323,6,60,6.8,6.8,2.8,2.8,2.8,2.8,32,426,426,426,426,426,426,426,426,426,14,14,14,14,8,8,8,8,74,4,2.8,2.8,2.8,2.8,1.6,16,406,14,0,8,268,268,268,268,268,268,268,268,268,6,32,0,294,100,300.0,16,16,50,20,480,90,30,8,90,2104.8,30.06.2026
Harry Kane,eng ENG,FW,31-293,52,210,40.8,26.6,10.6,10.6,10.6,10.6,178,1290,1290,1290,1290,1290,1290,1290,1290,1290,194,194,194,194,46,46,46,46,406,118,10.6,10.6,10.6,10.6,11.0,112,1242,36,34,26,1018,1018,1018,1018,1018,1018,1018,1018,1018,12,32,0,1022,324,1666.6,58,38,82,44,1432,286,18,26,58,2933.6,30.06.2027
Hauke Wahl,de GER,CB,31-032,0,22,1.8,1.8,0.8,0.8,0.8,0.8,52,3510,3510,3510,3510,3510,3510,3510,3510,3510,284,284,284,284,16,16,16,16,1640,172,0.8,0.8,0.8,0.8,2.6,240,3366,136,0,16,3040,3040,3040,3040,3040,3040,3040,3040,3040,8,340,8,198,56,1400.0,4,28,20,18,2610,20,26,16,94,2900.0,-
Hiroki Ito,jp JPN,LB,25-321,2,2,0.8,0.8,0.8,0.8,0.8,0.8,10,422,422,422,422,422,422,422,422,422,36,36,36,36,2,2,2,2,148,14,0.8,0.8,0.8,0.8,1.0,28,380,42,2,4,366,366,366,366,366,366,366,366,366,0,30,2,104,10,66.6,4,12,6,2,350,12,4,4,10,400.0,30.06.2028
Hong Hyunseok,kr KOR,AM,25-335,0,10,1.0,1.0,2.6,2.6,2.6,2.6,44,462,462,462,462,462,462,462,462,462,46,46,46,46,8,8,8,8,92,8,2.6,2.6,2.6,2.6,2.2,22,454,4,0,10,360,360,360,360,360,360,360,360,360,4,18,0,228,32,666.6,8,18,22,24,372,62,6,10,6,233.4,30.06.2026
Hugo Ekitike,fr FRA,FW,22-331,30,228,43.2,38.4,13.6,13.6,13.6,13.6,202,1288,1288,1288,1288,1288,1288,1288,1288,1288,106,106,106,106,104,104,104,104,236,42,13.6,13.6,13.6,13.6,10.6,48,1172,112,12,34,972,972,972,972,972,972,972,972,972,4,48,0,1166,392,2790.2,122,114,198,68,1554,430,78,34,104,2819.0,30.06.2031
Hugo Larsson,se SWE,CM,20-324,6,42,6.4,6.4,4.0,4.0,4.0,4.0,114,2486,2486,2486,2486,2486,2486,2486,2486,2486,242,242,242,242,24,24,24,24,880,118,4.0,4.0,4.0,4.0,3.2,178,2424,54,4,16,2160,2160,2160,2160,2160,2160,2160,2160,2160,8,70,2,530,52,1800.0,14,40,46,22,2012,66,42,16,26,2033.4,30.06.2029
Igor Matanovic,hr CRO,RW,22-005,2,24,2.2,2.2,0.0,0.0,0.0,0.0,16,150,150,150,150,150,150,150,150,150,12,12,12,12,6,6,6,6,38,6,0.0,0.0,0.0,0.0,0.2,16,138,12,2,0,114,114,114,114,114,114,114,114,114,0,18,0,88,34,500.0,4,6,42,18,206,38,12,0,20,733.4,-
